max_reinforce,min_diff_A,max_freq_M0,max_freq_F1,final_adapt_diff_unlinked,this.order,n.gen,r12,r23,s,n.unlinked,prop.replaced0,prop.replaced1,discrim
0.0199000000000001,0.288778328304274,1,0.0108000163467113,-0.418724953367621,AMF,Inf,0.001,0.001,0.01,1,0.01,0.01,1
0.0199000000000001,0.29649058123469,1,0.0111459502106387,-0.426227263831098,AMF,Inf,0.001,0.001,0.01,4,0.01,0.01,1
0.0199000000000001,0.307895346346658,0.999999999999993,0.0100019507794798,-0.418724953367621,AMF,Inf,0.001,0.001,0.01,1,0.01,0.01,1
0.0199000000000001,0.316473050492594,0.999999999999998,0.010004805773646,-0.426227263831097,AMF,Inf,0.001,0.001,0.01,4,0.01,0.01,1
0.0429698860180844,0.124040308642436,1,0.0325373035674434,-0.418724953366733,AMF,Inf,0.001,0.5,0.01,1,0.01,0.01,1
0.0450705410518946,0.130416260840374,1,0.0334068325645065,-0.426227263830104,AMF,Inf,0.001,0.5,0.01,4,0.01,0.01,1
0.0199000000000001,0.319955783117257,0.999999995568885,0.0100019507794798,-0.418724953366669,AMF,Inf,0.001,0.5,0.01,1,0.01,0.01,1
0.0199000000000001,0.328423518090484,0.999999995496299,0.010004805773646,-0.42622726383003,AMF,Inf,0.001,0.5,0.01,4,0.01,0.01,1
0.0199000000000001,0.422877367006494,0.999999997748014,0.0109689143573564,-0.418724953327591,AMF,Inf,0.5,0.001,0.01,1,0.01,0.01,1
0.0199000000000001,0.430400007266321,0.999999999113983,0.0109701942346541,-0.426227263814137,AMF,Inf,0.5,0.001,0.01,4,0.01,0.01,1
0.0199000000000001,0.422877367645882,0.999999982597014,0.0100019507794798,-0.418724953328499,AMF,Inf,0.5,0.001,0.01,1,0.01,0.01,1
0.0199000000000001,0.430400007573695,0.999999991611872,0.010004805773646,-0.42622726381452,AMF,Inf,0.5,0.001,0.01,4,0.01,0.01,1
0.0403924257526713,0.422877329952893,1,0.0316361178721058,-0.418724953326701,AMF,Inf,0.5,0.5,0.01,1,0.01,0.01,1
0.0423597280050907,0.430399990925509,1,0.0324252646272389,-0.4262272638136,AMF,Inf,0.5,0.5,0.01,4,0.01,0.01,1
0.0198999999999999,0.422877367783172,0.99999911370212,0.0100019507794798,-0.418724953347275,AMF,Inf,0.5,0.5,0.01,1,0.01,0.01,1
0.0198999999999999,0.430400007619852,0.99999939186193,0.010004805773646,-0.42622726381999,AMF,Inf,0.5,0.5,0.01,4,0.01,0.01,1
0.0199000000000001,0.0161111427545464,1,0.0110442968449956,-0.0501815972179448,AMF,Inf,0.001,0.001,0.01,1,0.1,0.1,1
0.0199000000000001,0.0159647618456036,1,0.0111966689667283,-0.050318227768428,AMF,Inf,0.001,0.001,0.01,4,0.1,0.1,1
0.0199000000000001,0.0173898671827435,1,0.0100195421049019,-0.0501815972179499,AMF,Inf,0.001,0.001,0.01,1,0.1,0.1,1
0.0199000000000001,0.0172651129702405,1,0.0100482664985395,-0.0503182277684331,AMF,Inf,0.001,0.001,0.01,4,0.1,0.1,1
0.0199000000000001,0.00678727575569416,1,0.029118466504085,-0.0501815972179503,AMF,Inf,0.001,0.5,0.01,1,0.1,0.1,1
0.0199000000000001,0.00668316612952169,1,0.029565486364248,-0.0503182277684323,AMF,Inf,0.001,0.5,0.01,4,0.1,0.1,1
0.0199000000000001,0.0203598521295213,1,0.0100195421049019,-0.0501815972179468,AMF,Inf,0.001,0.5,0.01,1,0.1,0.1,1
0.0199000000000001,0.0202364217085232,1,0.0100482664985395,-0.0503182277684301,AMF,Inf,0.001,0.5,0.01,4,0.1,0.1,1
0.0199000000000001,0.0551855936976783,1,0.0110728522549528,-0.0501815969956249,AMF,Inf,0.5,0.001,0.01,1,0.1,0.1,1
0.0199000000000001,0.0553287873645441,1,0.0111941676183124,-0.050318227684769803,AMF,Inf,0.5,0.001,0.01,4,0.1,0.1,1
0.0199000000000001,0.0551882354290293,1,0.0100195421049019,-0.0501815969955453,AMF,Inf,0.5,0.001,0.01,1,0.1,0.1,1
0.0199000000000001,0.0553315910267486,1,0.0100482664985395,-0.050318227684741,AMF,Inf,0.5,0.001,0.01,4,0.1,0.1,1
0.0199,0.0551773755787748,1,0.0290100148232603,-0.0501815969955327,AMF,Inf,0.5,0.5,0.01,1,0.1,0.1,1
0.0199,0.0553195211768598,1,0.0294047064071156,-0.0503182276847582,AMF,Inf,0.5,0.5,0.01,4,0.1,0.1,1
0.0199,0.0551883229526197,1,0.0100195421049019,-0.0501815969956111,AMF,Inf,0.5,0.5,0.01,1,0.1,0.1,1
0.0199,0.0553316825566578,1,0.0100482664985395,-0.0503182276847226,AMF,Inf,0.5,0.5,0.01,4,0.1,0.1,1
0.0665441343315589,0.934297922719682,1,0.0757662758461076,-0.926665011647161,AMF,Inf,0.001,0.001,0.1,1,0.01,0.01,1
0.150122257048111,0.961876908757054,1,0.180744110672332,-0.956079359358306,AMF,Inf,0.001,0.001,0.1,4,0.01,0.01,1
0.062499160896915,0.934297922719682,1,0.0732087746342744,-0.926665011647161,AMF,Inf,0.001,0.001,0.1,1,0.01,0.01,1
0.143619000169029,0.961876908757054,1,0.17671762381001,-0.956079359358306,AMF,Inf,0.001,0.001,0.1,4,0.01,0.01,1
0.0823148534270516,0.933608670961349,1,0.0495015235303691,-0.926665011647161,AMF,Inf,0.001,0.5,0.1,1,0.01,0.01,1
0.140652031711711,0.961876908757054,1,0.0971316454261786,-0.956079359358306,AMF,Inf,0.001,0.5,0.1,4,0.01,0.01,1
