max_reinforce,min_diff_A,max_freq_M0,max_freq_F1,final_adapt_diff_unlinked,this.order,n.gen,r12,r23,r34,s,n.unlinked,prop.replaced0,prop.replaced1,discrim
NaN,1,0,0.01,NA,AMF,10000,0,0,0.5,0.64,0,0,0,1
NaN,1,0,0.01,NA,AMF,10000,0,0,0.5,0.65,0,0,0,1
NaN,1,0,0.01,NA,AMF,10000,0,0,0.5,0.66,0,0,0,1
NaN,1,0,0.01,NA,AMF,10000,0,0,0.5,0.67,0,0,0,1
NaN,1,0,0.01,NA,AMF,10000,0,0,0.5,0.68,0,0,0,1
NaN,1,0,0.01,NA,AMF,10000,0,0,0.5,0.69,0,0,0,1
NaN,1,0,0.01,NA,AMF,10000,0,0,0.5,0.7,0,0,0,1
NaN,1,0,0.01,NA,AMF,10000,0,0,0.5,0.71,0,0,0,1
NaN,1,0,0.01,NA,AMF,10000,0,0,0.5,0.72,0,0,0,1
NaN,1,0,0.01,NA,AMF,10000,0,0,0.5,0.73,0,0,0,1
NaN,1,0,0.01,NA,AMF,10000,0,0,0.5,0.74,0,0,0,1
NaN,1,0,0.01,NA,AMF,10000,0,0,0.5,0.75,0,0,0,1
NaN,1,0,0.01,NA,AMF,10000,0,0,0.5,0.76,0,0,0,1
NaN,1,0,0.01,NA,AMF,10000,0,0,0.5,0.77,0,0,0,1
NaN,1,0,0.01,NA,AMF,10000,0,0,0.5,0.78,0,0,0,1
NaN,1,0,0.01,NA,AMF,10000,0,0,0.5,0.79,0,0,0,1
NaN,1,0,0.01,NA,AMF,10000,0,0,0.5,0.8,0,0,0,1
NaN,1,0,0.01,NA,AMF,10000,0,0,0.5,0.81,0,0,0,1
NaN,1,0,0.01,NA,AMF,10000,0,0,0.5,0.82,0,0,0,1
NaN,1,0,0.01,NA,AMF,10000,0,0,0.5,0.83,0,0,0,1
NaN,1,0,0.01,NA,AMF,10000,0,0,0.5,0.84,0,0,0,1
NaN,1,0,0.01,NA,AMF,10000,0,0,0.5,0.85,0,0,0,1
NaN,1,0,0.01,NA,AMF,10000,0,0,0.5,0.86,0,0,0,1
NaN,1,0,0.01,NA,AMF,10000,0,0,0.5,0.87,0,0,0,1
NaN,1,0,0.01,NA,AMF,10000,0,0,0.5,0.88,0,0,0,1
NaN,1,0,0.01,NA,AMF,10000,0,0,0.5,0.89,0,0,0,1
NaN,1,0,0.01,NA,AMF,10000,0,0,0.5,0.9,0,0,0,1
NaN,1,0,0.01,NA,AMF,10000,0,0,0.5,0.91,0,0,0,1
NaN,1,0,0.01,NA,AMF,10000,0,0,0.5,0.92,0,0,0,1
NaN,1,0,0.01,NA,AMF,10000,0,0,0.5,0.93,0,0,0,1
NaN,1,0,0.01,NA,AMF,10000,0,0,0.5,0.94,0,0,0,1
NaN,1,0,0.01,NA,AMF,10000,0,0,0.5,0.95,0,0,0,1
NaN,1,0,0.01,NA,AMF,10000,0,0,0.5,0.96,0,0,0,1
NaN,1,0,0.01,NA,AMF,10000,0,0,0.5,0.97,0,0,0,1
NaN,1,0,0.01,NA,AMF,10000,0,0,0.5,0.98,0,0,0,1
NaN,1,0,0.01,NA,AMF,10000,0,0,0.5,0.99,0,0,0,1
NaN,1,0,0.01,NA,AMF,10000,0,0,0.5,1,0,0,0,1
0.0199,0,1,0.0100000000000001,NA,AMF,10000,0,0,0.5,0,0,0.002,0.002,1
0.0199,0.691748653651686,0.279367643022868,0.0133046035360022,NA,AMF,10000,0,0,0.5,0.01,0,0.002,0.002,1
0.0594246234005341,0.809639257326985,0.177386687661393,0.0370898082247229,NA,AMF,10000,0,0,0.5,0.02,0,0.002,0.002,1
0.103724879076973,0.869307070137042,0.122474539839584,0.0613483354152423,NA,AMF,10000,0,0,0.5,0.03,0,0.002,0.002,1
0.145388982988436,0.904535426732089,0.0894917670612032,0.0837897618566942,NA,AMF,10000,0,0,0.5,0.04,0,0.002,0.002,1
0.183319455663212,0.92709165467677,0.0682499044019837,0.104316417105743,NA,AMF,10000,0,0,0.5,0.05,0,0.002,0.002,1
0.217809896914535,0.942446111329194,0.0537642937684798,0.123239299555105,NA,AMF,10000,0,0,0.5,0.06,0,0.002,0.002,1
0.249395061991538,0.95341047378848,0.043420230062242,0.140874771649865,NA,AMF,10000,0,0,0.5,0.07,0,0.002,0.002,1
0.278567400035963,0.961542300966623,0.0357551282106206,0.157476511570536,NA,AMF,10000,0,0,0.5,0.08,0,0.002,0.002,1
0.305726519452342,0.967759716108625,0.0299024188363924,0.173237762955535,NA,AMF,10000,0,0,0.5,0.09,0,0.002,0.002,1
0.331185883488348,0.972632720797608,0.0253225993284446,0.188304740885736,NA,AMF,10000,0,0,0.5,0.1,0,0.002,0.002,1
0.355190066371861,0.976530913372288,0.021665330006949,0.20278884964648,NA,AMF,10000,0,0,0.5,0.11,0,0.002,0.002,1
0.377930877224558,0.979702913705134,0.0186947888478721,0.216775913250454,NA,AMF,10000,0,0,0.5,0.12,0,0.002,0.002,1
0.399560128002846,0.982321286743684,0.0162472714353272,0.230332823547164,NA,AMF,10000,0,0,0.5,0.13,0,0.002,0.002,1
0.420199249880273,0.984509089541773,0.0142060652077077,0.243512289569247,NA,AMF,10000,0,0,0.5,0.14,0,0.002,0.002,1
0.439946435672905,0.986356166875254,0.0124859977384883,0.256356252006997,NA,AMF,10000,0,0,0.5,0.15,0,0.002,0.002,1
0.458881946731541,0.98792949139348,0.0110236201759522,0.26889836754818,NA,AMF,10000,0,0,0.5,0.16,0,0.002,0.002,1
0.477072081725541,0.989279918210687,0.00977078981080724,0.281165841807193,NA,AMF,10000,0,0,0.5,0.17,0,0.002,0.002,1
0.494572171609029,0.990446711387565,0.00869036772307534,0.293180801035947,NA,AMF,10000,0,0,0.5,0.18,0,0.002,0.002,1
0.511428861947619,0.991460646278744,0.00775326958729011,0.304961332925098,NA,AMF,10000,0,0,0.5,0.19,0,0.002,0.002,1
0.527681869069309,0.992346178416841,0.00693640399275346,0.31652228667069,NA,AMF,10000,0,0,0.5,0.2,0,0.002,0.002,1
0.543365343694039,0.993122986635362,0.00622120597213186,0.327875895500861,NA,AMF,10000,0,0,0.5,0.21,0,0.002,0.002,1
0.558508938635257,0.993807088237678,0.00559257768181937,0.339032266554675,NA,AMF,10000,0,0,0.5,0.22,0,0.002,0.002,1
0.573138651114346,0.9944116562992,0.00503811248402455,0.349999770438902,NA,AMF,10000,0,0,0.5,0.23,0,0.002,0.002,1
0.587277491790542,0.994947626450605,0.00454751929748904,0.360785354042586,NA,AMF,10000,0,0,0.5,0.24,0,0.002,0.002,1
0.600946019428501,0.995424152897538,0.00411219032328438,0.371394794015462,NA,AMF,10000,0,0,0.5,0.25,0,0.002,0.002,1
0.614162770586875,0.995848955227248,0.00372487257531177,0.381832903896221,NA,AMF,10000,0,0,0.5,0.26,0,0.002,0.002,1
0.626944606716811,0.996125538110777,0.00337941531965579,0.392103704671516,NA,AMF,10000,0,0,0.5,0.27,0,0.002,0.002,1
0.639306995861828,0.996364446267236,0.003070573543562,0.402210566195027,NA,AMF,10000,0,0,0.5,0.28,0,0.002,0.002,1
0.65126424224433,0.996585651141812,0.00279385316817019,0.412156325154812,NA,AMF,10000,0,0,0.5,0.29,0,0.002,0.002,1
0.662829674060755,0.996790910551641,0.00254538767040799,0.421943383978129,NA,AMF,10000,0,0,0.5,0.3,0,0.002,0.002,1
0.674015797545889,0.996981757059682,0.00232183859478314,0.431573794088479,NA,AMF,10000,0,0,0.5,0.31,0,0.002,0.002,1
0.684834423633884,0.997159532929741,0.00212031445215745,0.441049326194801,NA,AMF,10000,0,0,0.5,0.32,0,0.002,0.002,1
0.695296772213772,0.997325418777965,0.00193830395056689,0.450371529736939,NA,AMF,10000,0,0,0.5,0.33,0,0.002,0.002,1
0.705413557954551,0.997480457207807,0.00177362054447617,0.459541783188264,NA,AMF,10000,0,0,0.5,0.34,0,0.002,0.002,1
0.71519506088819,0.99762557242515,0.00162435603890244,0.46856133659317,NA,AMF,10000,0,0,0.5,0.35,0,0.002,0.002,1
0.724651184330516,0.997761584761191,0.00148884152666852,0.477431347467749,NA,AMF,10000,0,0,0.5,0.36,0,0.002,0.002,1
0.733791502248099,0.997889228601152,0.00136561433054387,0.486152910998563,NA,AMF,10000,0,0,0.5,0.37,0,0.002,0.002,1
0.742625297809695,0.998009161697502,0.00125338991019871,0.494727085322413,NA,AMF,10000,0,0,0.5,0.38,0,0.002,0.002,1
0.751161594568938,0.998121973450222,0.00115103790738237,0.503154912549506,NA,AMF,10000,0,0,0.5,0.39,0,0.002,0.002,1
0.759409181491323,0.998228192810621,0.00105756166319171,0.511437436095427,NA,AMF,10000,0,0,0.5,0.4,0,0.002,0.002,1
0.767376632849441,0.998328302272846,9.72080663898296e-4,0.519575714808628,NA,AMF,10000,0,0,0.5,0.41,0,0.002,0.002,1
0.775072323854843,0.998422733969636,8.93815467127573e-4,0.527570834315002,NA,AMF,10000,0,0,0.5,0.42,0,0.002,0.002,1
0.782504442765933,0.998511882328122,8.2207473557967e-4,0.535423915947262,NA,AMF,10000,0,0,0.5,0.43,0,0.002,0.002,1
0.789681000102147,0.99859610632831,7.56244066063878e-4,0.543136123580752,NA,AMF,10000,0,0,0.5,0.44,0,0.002,0.002,1
0.796609835502706,0.99867573097186,6.95776350973188e-4,0.550708668658931,NA,AMF,10000,0,0,0.5,0.45,0,0.002,0.002,1
0.803298622688649,0.998751056525243,6.40183449992209e-4,0.558142813657808,NA,AMF,10000,0,0,0.5,0.46,0,0.002,0.002,1
0.809754872918879,0.998822354072853,5.98147229322285e-4,0.565439874209961,NA,AMF,10000,0,0,0.5,0.47,0,0.002,0.002,1
0.815985937271773,0.998889875724473,5.63638376658769e-4,0.572601220083242,NA,AMF,10000,0,0,0.5,0.48,0,0.002,0.002,1
0.821999008032606,0.99895385042815,5.30963559322215e-4,0.579628275187015,NA,AMF,10000,0,0,0.5,0.49,0,0.002,0.002,1
0.827801119422522,0.999014490262808,5.00011306114463e-4,0.586522516759133,NA,AMF,10000,0,0,0.5,0.5,0,0.002,0.002,1
0.83339914786589,0.999071991204116,4.70679120872804e-4,0.593285473869251,NA,AMF,10000,0,0,0.5,0.51,0,0.002,0.002,1
0.838799811959278,0.999126531496594,4.42872473617667e-4,0.599918725358545,NA,AMF,10000,0,0,0.5,0.52,0,0.002,0.002,1
